x,y,amp,phase
-0.274806356,0.30968004,0.00126553,-38.82
-0.270025076,0.306146107,0.00121165,-38.298
-0.265071164,0.302361285,0.00127435,-39.282
-0.260153253,0.298475195,0.00125194,-44.004
-0.255474035,0.294653961,0.00131202,-42.822
-0.250626624,0.290562942,0.0011797,-46.206
-0.246014969,0.286540587,0.00120331,-49.26
-0.2410398,0.282052334,0.00120521,-48.792
-0.236497145,0.277813156,0.00113273,-44.802
-0.231792233,0.273273669,0.00114227,-36.036
-0.227123322,0.268611658,0.00120974,-32.34
-0.222682729,0.264024688,0.0012436,-27.174
-0.218084318,0.259108958,0.00138379,-21.894
-0.213521906,0.254055517,0.00133158,-19.146
-0.209183376,0.249077489,0.0014124,-18.762
-0.204691464,0.243735047,0.00146104,-21.204
-0.200420497,0.238465984,0.00135613,-22.356
-0.195999085,0.232803239,0.00122715,-24.654
-0.191613673,0.226962063,0.00118447,-20.946
-0.187264262,0.220930447,0.00109101,-26.1
-0.183129857,0.214958639,0.000903372,-31.788
-0.178850945,0.208511843,0.000781778,-39.468
-0.174784102,0.202110179,0.000693087,-50.844
-0.173281542,0.20015111,0.000633482,-47.784
-0.169113958,0.201000151,0.000555996,-38.244
-0.16777646,0.200238466,0.000543837,-36.024
-0.171801615,0.206769784,0.000684742,-31.932
-0.176037026,0.213344594,0.000846628,-32.148
-0.180129744,0.219433232,0.00106526,-26.586
-0.184435656,0.225581623,0.00115324,-23.352
-0.188777567,0.23153514,0.001292,-27.504
-0.192972347,0.237069493,0.00135661,-22.218
-0.197384759,0.242676616,0.00140286,-21.294
-0.201833171,0.248121877,0.00141598,-23.244
-0.206317582,0.253413815,0.00139237,-24.912
-0.210837994,0.25855997,0.00134993,-27.36
-0.215203837,0.2633611,0.00114322,-28.368
-0.219602742,0.268039738,0.00112916,-32.274
-0.224228153,0.272796284,0.00110842,-36.81
-0.228694621,0.277238733,0.00106955,-40.374
-0.233390532,0.281757548,0.0010388,-48.696
-0.238122444,0.286160916,0.00104905,-48.204
-0.242890356,0.290452328,0.00102235,-43.146
-0.247493386,0.294462788,0.00107241,-43.056
-0.252534179,0.298711552,0.00120283,-43.158
-0.257410091,0.302684753,0.00126458,-38.502
-0.262322003,0.306556836,0.0012858,-36.672
-0.267269914,0.310329875,0.00133229,-34.17
-0.272045444,0.313854496,0.00127674,-32.28
-0.277063856,0.317438812,0.00128222,-34.446
-0.281906949,0.320785512,0.00128055,-34.2
-0.28699586,0.324186922,0.0012796,-39.726
-0.292120772,0.327496795,0.00113226,-48.276
-0.297281684,0.330716205,0.00106478,-52.332
-0.299995202,0.332656006,0.001014,-51.798
-0.300756501,0.336022284,0.00105263,-56.37
-0.299657934,0.337986686,0.00108553,-55.032
-0.294682591,0.334987619,0.00117446,-48.222
-0.28952618,0.331772082,0.00125957,-39.216
-0.2846184,0.328607227,0.00129009,-38.43
-0.279532488,0.325216881,0.00133849,-32.604
-0.274482576,0.32173566,0.00139976,-37.206
-0.269468664,0.318162296,0.00142599,-36.798
-0.264490753,0.31449537,0.00129319,-33.804
-0.259548841,0.3107333,0.00132013,-42.468
-0.254846624,0.307037075,0.0012343,-41.04
-0.249975212,0.303083402,0.00110174,-39.198
-0.245340557,0.299199785,0.00110532,-43.428
-0.240539645,0.295046213,0.00106097,-48.984
-0.235774733,0.290786781,0.00105954,-53.31
-0.231242141,0.286602785,0.00113607,-44.328
-0.226547729,0.282127274,0.00107122,-45.072
-0.221889318,0.277536289,0.0011077,-40.914
-0.217266906,0.272825843,0.00122023,-34.188
-0.212680494,0.267991502,0.00130869,-30.834
-0.208130082,0.263028315,0.00133086,-28.02
-0.203803052,0.258145912,0.00140787,-26.19
-0.199323141,0.252913759,0.00140453,-22.308
-0.194879229,0.247534358,0.00136472,-10.584
-0.190471317,0.241999872,0.00132156,-21.186
-0.18628085,0.236542255,0.00128198,-26.172
-0.181943438,0.230677192,0.00103474,-18.936
-0.177642026,0.22462698,0.000794414,-36.366
-0.173376615,0.218378359,0.000720743,-12.9
-0.169147203,0.211915951,0.000601295,-32.244
-0.164953791,0.205221786,0.000470402,-19.824
-0.161561282,0.200069215,0.000242473,-45.36
-0.157124747,0.200910108,0.000214339,31.044
-0.156239269,0.200385934,0.00031686,21.588
-0.16002823,0.206749022,0.000397446,18.558
-0.164196141,0.213451941,0.000531439,4.476
-0.168224171,0.219660562,0.0007062,-10.692
-0.172462583,0.225931855,0.000948433,-13.788
-0.176736995,0.232006449,0.00107003,-13.824
-0.180867087,0.237655521,0.00120044,-16.242
-0.185211999,0.243381341,0.0012734,-18.462
-0.18959291,0.248944576,0.00138331,-16.434
-0.194009822,0.254354033,0.00130559,-22.188
-0.198276477,0.259401,0.00132776,-24.924
-0.202763889,0.264531014,0.00126124,-24.126
-0.207287301,0.269527807,0.00117589,-29.634
-0.211846712,0.274396876,0.000986584,-33.648
-0.216442124,0.279143142,0.00084329,-37.746
-0.221073536,0.283771018,0.00082374,-42.198
-0.225740947,0.288284469,0.000759128,-40.65
-0.230444359,0.292687067,0.000816111,-43.536
-0.235183771,0.296982033,0.000863794,-36.876
-0.239959183,0.30117227,0.000940565,-38.412
-0.244770594,0.305260403,0.000966076,-38.508
-0.249618006,0.309248799,0.00110126,-31.14
-0.254501418,0.3131396,0.00122071,-28.71
-0.259420829,0.316934734,0.00128556,-29.634
-0.264169047,0.320483579,0.00145102,-28.338
-0.269158959,0.324096246,0.00133467,-29.196
-0.273974739,0.327472967,0.00139523,-34.026
-0.27903515,0.330908595,0.00137091,-33.996
-0.284131562,0.334255561,0.00139905,-34.812
-0.289263974,0.337514874,0.00131918,-36.654
-0.294432385,0.340687421,0.00119854,-45.084
-0.299419228,0.343647082,0.00110842,-50.334
-0.300190373,0.344385089,0.00112344,-54.876
-0.300936172,0.347700415,0.00113655,-59.55
-0.299813917,0.349650561,0.0010841,-58.998
-0.294811262,0.346738467,0.00115109,-44.988
-0.28984167,0.343749122,0.00139285,-44.76
-0.284477439,0.340411527,0.00139738,-37.59
-0.279576846,0.337258974,0.00142456,-36.702
-0.274498435,0.33388475,0.00159312,-30.144
-0.269456023,0.330423148,0.00151397,-27.306
-0.264449611,0.326873059,0.00146271,-26.808
-0.259479199,0.323233239,0.00127602,-30.372
-0.254544788,0.319502302,0.00123764,-29.526
-0.249646376,0.315678706,0.00117875,-27.588
-0.244783964,0.311760738,0.00104833,-29.01
-0.239957553,0.3077465,0.000881437,-38.268
-0.235167141,0.30363389,0.000794176,-39.324
-0.230412729,0.299420584,0.000860695,-37.386
